City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
Qaanaaq,GL,77.484,-69.3632,35.71,62,4,1.16
Albany,US,42.6001,-73.9662,71.47,82,99,3.96
Saint-Philippe,RE,-21.3585,55.7679,67.21,72,73,13.78
Champerico,GT,14.3,-91.9167,82.35,78,100,4.61
Vaini,TO,-21.2,-175.2,78.96,83,20,5.75
Narsaq,GL,60.9167,-46.05,48.42,74,100,2.95
Pevek,RU,69.7008,170.3133,41.85,81,20,5.73
Cape Town,ZA,-33.9258,18.4232,63.01,42,0,9.22
Windsor,CA,42.3001,-83.0165,71.94,83,75,4.61
Paragominas,BR,-2.9667,-47.4833,69.78,98,38,2.89
Chokurdakh,RU,70.6333,147.9167,68.97,28,24,11.99
Bubaque,GW,11.2833,-15.8333,79.03,77,97,14.5
Rikitea,PF,-23.1203,-134.9692,75.15,76,1,18.61
East London,ZA,-33.0153,27.9116,68.94,37,0,9.22
Castro,BR,-24.7911,-50.0119,54.36,97,99,6.82
Daru,PG,-9.0763,143.2092,81.12,69,39,13.82
Sherbakul',RU,54.6316,72.3963,64.08,57,94,12.48
Thompson,CA,55.7435,-97.8558,48.36,87,75,6.91
Bragança,BR,-1.0536,-46.7656,71.38,99,98,1.86
Tocopilla,CL,-22.092,-70.1979,63.54,73,100,3.02
Hobart,AU,-42.8794,147.3294,50.92,76,40,1.99
Asău,RO,46.4333,26.4,61.39,100,57,4.07
Nikolskoye,RU,59.7035,30.7861,72.81,62,0,6.62
Port Hardy,CA,50.6996,-127.4199,57.38,94,90,2.3
Mehamn,NO,71.0357,27.8492,45.9,81,100,2.28
Hambantota,LK,6.1241,81.1185,86.34,70,0,11.5
Perevoz,RU,55.5961,44.5446,69.12,78,5,5.79
Aripuanã,BR,-9.1667,-60.6333,72.32,90,86,1.25
Atuona,PF,-9.8,-139.0333,79.16,79,12,21.41
Ushuaia,AR,-54.8,-68.3,37.06,87,0,11.5
San Quintín,MX,30.4833,-115.95,63.28,88,25,10.25
Tsiroanomandidy,MG,-18.7667,46.0333,56.64,78,37,3.89
