City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
Pangnirtung,CA,66.1451,-65.7125,44.6,76,75,12.66
Kutum,SD,14.2,24.6667,80.37,39,92,7.07
Nagato,JP,34.3833,131.2,71.51,67,91,7.38
Bundaberg,AU,-24.85,152.35,56.21,87,4,1.99
Millinocket,US,45.6573,-68.7098,81.36,50,20,9.22
New Norfolk,AU,-42.7826,147.0587,41.67,88,16,2.77
Major Isidoro,BR,-9.5322,-36.985,74.52,88,38,6.71
Hermanus,ZA,-34.4187,19.2345,66.42,51,100,7.87
Busselton,AU,-33.65,115.3333,49.05,77,99,20.78
Kenora,CA,49.8167,-94.4337,67.17,52,75,18.41
Neijiang,CN,29.5835,105.0622,68.25,92,98,1.68
Upernavik,GL,72.7868,-56.1549,36.23,72,24,9.71
Albany,US,42.6001,-73.9662,87.13,54,1,6.98
Bengkulu,ID,-3.8004,102.2655,74.53,88,82,4.7
Castro,BR,-24.7911,-50.0119,59.5,71,59,5.55
Tuktoyaktuk,CA,69.4541,-133.0374,55.4,88,20,6.91
Ilebo,CD,-4.3167,20.5833,77.41,43,99,1.57
Carnarvon,AU,-24.8667,113.6333,60.87,59,90,3.44
Matara,LK,5.9485,80.5353,79.25,86,41,11.95
Thompson,CA,55.7435,-97.8558,51.96,50,75,11.5
Saint-François,FR,46.4154,3.9054,63.84,85,0,3.44
Ostrovnoy,RU,68.0531,39.5131,47.61,96,100,9.44
Artesia,US,33.8658,-118.0831,96.93,65,20,1.01
Praia da Vitória,PT,38.7333,-27.0667,68.25,73,75,13.4
Galveston,US,29.3669,-94.9669,93.04,79,20,16.11
Lagoa,PT,39.05,-27.9833,64.96,71,4,12.91
Ilulissat,GL,69.2167,-51.1,39.22,93,90,10.36
Man,CI,7.4125,-7.5538,72.77,98,85,2.73
Tahe,CN,52.3333,124.7333,52.9,92,76,3.42
Batemans Bay,AU,-35.7167,150.1833,50.92,73,97,4.85
Cidreira,BR,-30.1811,-50.2056,60.8,89,81,2.04
Geraldton,AU,-28.7667,114.6,55.81,76,90,17.27
Saldanha,ZA,-33.0117,17.9442,60.85,51,64,12.28
Butaritari,KI,3.0707,172.7902,81.45,75,30,6.6
Cherskiy,RU,68.75,161.3,64.27,40,15,14.63
São João da Barra,BR,-21.6403,-41.0511,82.49,72,2,8.72
Rikitea,PF,-23.1203,-134.9692,75.42,80,7,18.88
Nouakchott,MR,18.0858,-15.9785,80.53,63,31,23.69
Obihiro,JP,42.9172,143.2044,53.76,96,100,1.52
Honningsvåg,NO,70.9821,25.9704,47.73,81,0,3.44
Nuuk,GL,64.1835,-51.7216,41.61,100,90,3.44
Husavik,IS,66.0449,-17.3389,51.71,65,17,3.98
Lluta,PE,-16.0147,-72.0142,59.27,40,24,9.24
Lüderitz,NA,-26.6481,15.1594,70.95,34,0,4.05
Bluff,NZ,-46.6,168.3333,43.05,84,8,6.38
Haigerloch,DE,48.3661,8.8036,67.77,96,100,7.7
Punta Arenas,CL,-53.15,-70.9167,39.31,81,0,13.8
Iaciara,BR,-14.0958,-46.6317,85.24,30,8,3.94
Palu,ID,-0.8917,119.8707,73.76,92,86,3.06
Ushuaia,AR,-54.8,-68.3,44.26,53,40,18.41
Puerto Ayora,EC,-0.7393,-90.3518,82.36,81,55,7.0
Sorong,ID,-0.8833,131.25,79.48,83,100,8.7
Hay River,CA,60.8156,-115.7999,64.38,36,20,5.75
Tual,ID,-5.6667,132.75,80.74,77,89,16.91
Atuona,PF,-9.8,-139.0333,79.57,73,22,18.92
At-Bashi,KG,41.1702,75.8106,49.93,62,46,0.92
Esim,GH,4.8699,-2.2405,76.87,88,100,9.69
Hobart,AU,-42.8794,147.3294,42.03,94,14,1.01
Chizhou,CN,30.6578,117.4831,68.99,92,92,1.86
Beringovskiy,RU,63.05,179.3167,42.28,82,100,5.55
Saint Paul Harbor,US,57.79,-152.4072,47.71,93,90,20.71
Camacha,PT,33.0833,-16.3333,66.96,83,40,14.97
Port Alfred,ZA,-33.5906,26.891,72.0,37,79,11.05
Port Macquarie,AU,-31.4333,152.9167,54.9,89,100,9.33
Haines Junction,CA,60.7522,-137.5108,60.75,44,100,6.91
Severo-Kuril'sk,RU,50.6789,156.125,44.89,84,100,7.0
Mataura,NZ,-46.1927,168.8643,36.03,98,36,2.64
Cairns,AU,-16.9167,145.7667,60.06,93,5,0.0
East London,ZA,-33.0153,27.9116,70.54,35,5,7.2
Nyrob,RU,60.733,56.7202,43.63,71,57,2.82
Faya,SA,18.3851,42.4509,77.11,18,21,5.1
Hare Bay,CA,48.8499,-54.0148,63.75,87,100,9.57
Kargasok,RU,59.0556,80.8572,49.71,80,100,8.25
Pinhão,BR,-25.6956,-51.6597,56.26,81,11,1.97
Tavricheskoye,RU,54.5851,73.6395,48.11,87,42,11.65
Shimoda,JP,34.6667,138.95,72.16,82,100,4.65
Ishigaki,JP,24.3448,124.1572,84.43,81,100,3.04
Kapaa,US,22.0752,-159.319,81.19,75,75,3.0
Tiksi,RU,71.6872,128.8694,54.14,63,76,4.7
Kavieng,PG,-2.5744,150.7967,81.81,76,99,13.06
Muscat,OM,23.6139,58.5922,87.82,44,3,5.28
Imbituba,BR,-28.24,-48.6703,66.09,92,97,6.04
Clyde River,CA,70.4692,-68.5914,39.43,75,75,8.05
Samarai,PG,-10.6167,150.6667,78.93,84,49,14.9
Mutoko,ZW,-17.397,32.2268,52.68,74,45,3.71
Manoel Urbano,BR,-8.8389,-69.2597,88.84,45,62,2.26
Yellowknife,CA,62.456,-114.3525,55.92,47,20,10.36
Santa Fe,AR,-31.6333,-60.7,63.0,57,0,1.99
Khatanga,RU,71.9667,102.5,64.85,63,95,11.01
Mahébourg,MU,-20.4081,57.7,71.89,68,40,18.41
Kaiyuan,CN,23.6977,103.3037,68.72,83,99,3.44
Leamington,CA,42.0549,-82.6062,87.8,84,70,5.01
Kirillov,RU,59.863,38.3813,67.93,65,19,5.14
Jamestown,US,42.097,-79.2353,84.29,69,75,11.5
Avarua,CK,-21.2078,-159.775,73.45,64,20,5.75
Norrköping,SE,58.5942,16.1826,81.18,59,20,12.66
Ulaanbaatar,MN,47.9077,106.8832,55.53,62,0,4.47
Auki,SB,-8.7676,160.7034,75.56,86,36,4.03
Vestmannaeyjar,IS,63.4427,-20.2734,49.19,76,0,23.02
