City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
Vao,NC,-22.6667,167.4833,69.31,66,61,19.17
Kruisfontein,ZA,-34.0033,24.7314,51.89,89,56,1.74
Neiafu,TO,-18.65,-173.9833,77.68,78,40,4.61
Hithadhoo,MV,-0.6,73.0833,81.86,69,98,6.4
Hilo,US,19.7297,-155.09,82.8,68,1,8.05
Hobart,AU,-42.8794,147.3294,45.1,92,0,5.01
Jamestown,US,42.097,-79.2353,60.39,61,20,1.99
Dikson,RU,73.5069,80.5464,31.68,86,100,16.78
Ojinaga,MX,29.5667,-104.4167,103.57,19,1,5.75
Tomiya,JP,38.3931,140.8861,67.39,92,100,4.12
Punta Arenas,CL,-53.15,-70.9167,37.42,69,40,4.61
Maryville,US,35.7565,-83.9705,80.11,53,40,1.01
Mount Gambier,AU,-37.8333,140.7667,51.71,93,75,17.27
Yangambi,CD,0.8102,24.4336,69.04,95,100,2.15
Nara,JP,34.6851,135.8049,74.25,61,100,4.14
Kavaratti,IN,10.5669,72.642,82.81,75,100,17.72
East London,ZA,-33.0153,27.9116,68.18,72,54,6.44
Khatanga,RU,71.9667,102.5,52.75,61,44,18.77
Cape Town,ZA,-33.9258,18.4232,59.88,85,40,5.01
Ushuaia,AR,-54.8,-68.3,44.26,49,40,13.8
Mataura,NZ,-46.1927,168.8643,45.48,92,45,1.03
Tautira,PF,-17.7333,-149.15,86.02,78,17,5.23
Carnarvon,AU,-24.8667,113.6333,41.07,60,0,6.91
Cherskiy,RU,68.75,161.3,68.76,39,36,4.41
Sitka,US,57.0531,-135.33,55.29,71,90,3.44
Misratah,LY,32.3754,15.0925,82.63,53,0,13.2
Bud,US,39.447,-86.1758,73.49,44,28,5.77
Tuktoyaktuk,CA,69.4541,-133.0374,39.2,87,90,9.22
Arraial do Cabo,BR,-22.9661,-42.0278,69.76,83,75,5.75
Ciudad de Allende,MX,25.2833,-100.0167,88.99,53,100,7.87
Ancud,CL,-41.8697,-73.8203,45.43,91,100,10.11
Port Alfred,ZA,-33.5906,26.891,62.83,78,49,7.65
Rio Grande,BR,-32.035,-52.0986,57.94,80,100,14.83
Rikitea,PF,-23.1203,-134.9692,75.63,77,52,11.65
Tuatapere,NZ,-46.1333,167.6833,45.82,82,51,0.6
Krasnosel'kup,RU,65.7,82.4667,41.13,92,100,8.86
Namatanai,PG,-3.6667,152.4333,83.7,71,28,4.0
Komatipoort,ZA,-25.4332,31.9548,54.05,64,0,3.29
Espinosa,BR,-14.9261,-42.8192,72.18,39,8,4.36
Vostok,RU,46.4856,135.8833,70.25,48,4,2.17
Tarko-Sale,RU,64.9225,77.785,43.45,75,96,8.84
Alofi,NU,-19.0595,-169.9187,80.49,61,75,5.75
Chui,UY,-33.6971,-53.4616,54.7,84,66,9.33
Bethel,US,41.3712,-73.414,62.49,90,100,1.01
Clarence Town,AU,-32.5833,151.7833,57.97,82,100,3.04
Codrington,AU,-38.2667,141.9667,52.59,83,100,17.34
Cuenca,EC,-2.8833,-78.9833,62.73,55,75,8.05
Jinchang,CN,38.4953,102.1739,69.82,45,49,14.52
Belyy Yar,RU,53.6039,91.3903,55.29,94,75,4.47
Bairnsdale,AU,-37.8333,147.6167,45.7,74,100,4.47
Butaritari,KI,3.0707,172.7902,83.08,70,34,7.94
Chinsali,ZM,-10.5414,32.0816,55.98,77,9,7.25
Tromsø,NO,69.6496,18.957,44.62,81,0,4.61
Saldanha,ZA,-33.0117,17.9442,55.45,85,100,7.61
Kapaa,US,22.0752,-159.319,84.18,73,1,4.0
Flinders,AU,-34.5833,150.8552,60.39,81,99,3.0
Grindavik,IS,63.8424,-22.4338,48.15,87,0,10.36
Jardim,BR,-21.4803,-56.1381,71.24,73,49,2.84
Rome,US,43.2128,-75.4557,61.12,75,75,1.01
Puerto Colombia,CO,10.9878,-74.9547,81.75,80,100,10.11
Upernavik,GL,72.7868,-56.1549,45.0,54,2,9.04
Shenjiamen,CN,29.9576,122.298,73.09,71,0,2.75
Busselton,AU,-33.65,115.3333,46.09,80,93,9.66
Okha,RU,53.5739,142.9478,54.52,83,96,11.48
Ulaanbaatar,MN,47.9077,106.8832,51.93,93,40,2.24
Klaksvík,FO,62.2266,-6.589,47.32,90,100,7.63
Umluj,SA,25.0213,37.2685,87.15,37,3,9.46
Bambous Virieux,MU,-20.3428,57.7575,77.25,53,40,11.5
Puerto Ayora,EC,-0.7393,-90.3518,73.54,89,47,5.01
Ponta do Sol,PT,32.6667,-17.1,70.0,70,68,5.39
Esperance,AU,-33.8667,121.9,53.44,79,100,29.62
Port Elizabeth,ZA,-33.918,25.5701,54.1,84,30,4.23
Fort Smith,US,35.3859,-94.3986,82.89,40,1,1.99
New Norfolk,AU,-42.7826,147.0587,44.74,90,100,2.95
Baní,DO,18.2833,-70.3333,79.86,71,100,12.57
Riyadh,SA,24.6877,46.7219,93.25,14,0,3.44
Guerrero Negro,MX,27.9769,-114.0611,74.3,63,17,13.44
Klamath Falls,US,42.2249,-121.7817,78.49,43,75,12.66
Iqaluit,CA,63.7506,-68.5145,38.93,86,90,18.01
Saint-Philippe,RE,-21.3585,55.7679,63.21,83,68,12.15
Tamale,GH,9.4008,-0.8393,78.24,74,100,8.86
Rocha,UY,-34.4833,-54.3333,48.9,94,33,6.93
